passage,testament
"1CH 4:10","ot"
"1CH 4:11","ot"
"1CH 4:12","ot"
"1CH 4:13","ot"
"1CH 4:14","ot"
"1CH 4:15","ot"
"1CH 4:16","ot"
"1CH 4:17","ot"
"1CH 4:17-18","ot"
"1CH 4:18","ot"
"1CH 4:19","ot"
"1CH 4:2","ot"
"1CH 4:20","ot"
"1CH 4:21","ot"
"1CH 4:22","ot"
"1CH 4:24","ot"
"1CH 4:25","ot"
"1CH 4:26","ot"
"1CH 4:27","ot"
"1CH 4:3","ot"
"1CH 4:31","ot"
"1CH 4:34","ot"
"1CH 4:35","ot"
"1CH 4:36","ot"
"1CH 4:37","ot"
"1CH 4:4","ot"
"1CH 4:41","ot"
"1CH 4:42","ot"
"1CH 4:5","ot"
"1CH 4:6","ot"
"1CH 4:7","ot"
"1CH 4:8","ot"
"1CH 4:9","ot"
"1CH 5:1","ot"
"1CH 5:10","ot"
"1CH 5:11","ot"
"1CH 5:12","ot"
"1CH 5:13","ot"
"1CH 5:14","ot"
"1CH 5:15","ot"
"1CH 5:17","ot"
"1CH 5:18","ot"
"1CH 5:19","ot"
"1CH 5:2","ot"
"1CH 5:20","ot"
"1CH 5:23","ot"
"1CH 5:24","ot"
"1CH 5:26","ot"
"1CH 5:3","ot"
"1CH 5:4","ot"
"1CH 5:5","ot"
"1CH 5:6","ot"
"1CH 5:7","ot"
"1CH 5:8","ot"
"1CH 6:1","ot"
"1CH 6:10","ot"
"1CH 6:11","ot"
"1CH 6:12","ot"
"1CH 6:13","ot"
"1CH 6:14","ot"
"1CH 6:15","ot"
"1CH 6:16","ot"
"1CH 6:17","ot"
"1CH 6:18","ot"
"1CH 6:19","ot"
"1CH 6:2","ot"
"1CH 6:20","ot"
"1CH 6:21","ot"
"1CH 6:22","ot"
"1CH 6:23","ot"
"1CH 6:24","ot"
"1CH 6:25","ot"
"1CH 6:26","ot"
"1CH 6:27","ot"
"1CH 6:28","ot"
"1CH 6:29","ot"
"1CH 6:3","ot"
"1CH 6:30","ot"
"1CH 6:31","ot"
"1CH 6:32","ot"
"1CH 6:33","ot"
"1CH 6:34","ot"
"1CH 6:35","ot"
"1CH 6:36","ot"
"1CH 6:37","ot"
