person_id,canonical_chinese,canonical_greek,latinized,sex,status,identity_group,testament,nt_ref_count,ot_ref_count,bible_ref_count
"person-002778","乌赛","","Uzai","male","accepted","ot-idgrp-otc-2530","ot","0","1","1"
"person-002779","乌萨","","Uzal","male","accepted","ot-idgrp-otc-2531","ot","0","2","2"
"person-002780","乌撒","","Uzza","male","accepted","ot-idgrp-otc-2532","ot","0","1","1"
"person-002781","乌撒","","Uzza","male","accepted","ot-idgrp-otc-2533","ot","0","2","2"
"person-002782","乌撒","","Uzzah","male","accepted","ot-idgrp-otc-2534","ot","0","1","1"
"person-002783","乌撒","","Uzzah","male","accepted","ot-idgrp-otc-2535","ot","0","8","8"
"person-002784","乌西","","Uzzi","male","accepted","ot-idgrp-otc-2536","ot","0","4","4"
"person-002785","乌西","","Uzzi","male","accepted","ot-idgrp-otc-2537","ot","0","2","2"
"person-002786","乌西","","Uzzi","male","accepted","ot-idgrp-otc-2538","ot","0","1","1"
"person-002787","乌西","","Uzzi","male","accepted","ot-idgrp-otc-2539","ot","0","1","1"
"person-002788","乌西","","Uzzi","male","accepted","ot-idgrp-otc-2540","ot","0","1","1"
"person-002789","乌西","","Uzzi","male","accepted","ot-idgrp-otc-2541","ot","0","1","1"
"person-002790","乌西","","Uzzi","male","accepted","ot-idgrp-otc-2542","ot","0","1","1"
"person-002791","乌西亚","","Uzzia","male","accepted","ot-idgrp-otc-2543","ot","0","1","1"
"person-002792","乌西雅","","Uzziah","male","accepted","ot-idgrp-otc-2544","ot","0","1","1"
"person-002793","乌西雅","","Uzziah","male","accepted","ot-idgrp-otc-2545","ot","0","2","2"
"person-002794","乌西雅","","Uzziah","male","accepted","ot-idgrp-otc-2547","ot","0","1","1"
"person-002795","乌西雅","","Uzziah","male","accepted","ot-idgrp-otc-2548","ot","0","1","1"
"person-002796","乌薛","","Uzziel","male","accepted","ot-idgrp-otc-2549","ot","0","2","2"
"person-002797","乌薛","","Uzziel","male","accepted","ot-idgrp-otc-2550","ot","0","1","1"
"person-002798","乌薛","","Uzziel","male","accepted","ot-idgrp-otc-2551","ot","0","1","1"
"person-002799","乌薛","","Uzziel","male","accepted","ot-idgrp-otc-2552","ot","0","1","1"
"person-002800","乌薛","","Uzziel","male","accepted","ot-idgrp-otc-2553","ot","0","13","13"
"person-002801","乌薛","","Uzziel","male","accepted","ot-idgrp-otc-2554","ot","0","1","1"
"person-002802","瓦耶撒他","","Vaizatha","male","accepted","ot-idgrp-otc-2555","ot","0","1","1"
"person-002803","瓦尼雅","","Vaniah","male","accepted","ot-idgrp-otc-2556","ot","0","1","1"
"person-002804","瓦实提","","Vashti","female","accepted","ot-idgrp-otc-2557","ot","0","10","10"
"person-002805","缚西","","Vophsi","male","accepted","ot-idgrp-otc-2558","ot","0","1","1"
"person-002806","撒番","","Zaavan","male","accepted","ot-idgrp-otc-2559","ot","0","2","2"
"person-002807","撒拔","","Zabad","male","accepted","ot-idgrp-otc-2560","ot","0","1","1"
"person-002808","撒拔","","Zabad","male","accepted","ot-idgrp-otc-2561","ot","0","2","2"
"person-002809","撒拔","","Zabad","male","accepted","ot-idgrp-otc-2562","ot","0","1","1"
"person-002810","撒拔","","Zabad","male","accepted","ot-idgrp-otc-2563","ot","0","1","1"
"person-002811","撒拔","","Zabad","male","accepted","ot-idgrp-otc-2564","ot","0","1","1"
"person-002812","撒拔","","Zabad","male","accepted","ot-idgrp-otc-2565","ot","0","1","1"
"person-002813","萨拜","","Zabbai","male","accepted","ot-idgrp-otc-2566","ot","0","1","1"
"person-002814","萨拜","","Zabbai","male","accepted","ot-idgrp-otc-2567","ot","0","1","1"
"person-002815","撒巴底","","Zabdi","male","accepted","ot-idgrp-otc-2568","ot","0","1","1"
"person-002816","撒底","","Zabdi","male","accepted","ot-idgrp-otc-2569","ot","0","1","1"
"person-002817","撒底","","Zabdi","male","accepted","ot-idgrp-otc-2570","ot","0","4","4"
"person-002818","撒巴第业","","Zabdiel","male","accepted","ot-idgrp-otc-2571","ot","0","1","1"
"person-002819","撒巴第业","","Zabdiel","male","accepted","ot-idgrp-otc-2572","ot","0","1","1"
"person-002820","撒布得","","Zabud","male","accepted","ot-idgrp-otc-2573","ot","0","1","1"
"person-002821","萨改","","Zaccai","male","accepted","ot-idgrp-otc-2574","ot","0","2","2"
"person-002822","撒刻","","Zaccur","male","accepted","ot-idgrp-otc-2575","ot","0","1","1"
"person-002823","撒刻","","Zaccur","male","accepted","ot-idgrp-otc-2576","ot","0","3","3"
