name_id,person_id,name_text,language,source_scope,status
"name-0189","nt-people-0074","Crispus","en","canonical","accepted"
"name-0190","nt-people-0074","Κρίσπος","en","canonical","accepted"
"name-0191","nt-people-0075","Damaris","en","canonical","accepted"
"name-0192","nt-people-0075","Δάμαρις","en","canonical","accepted"
"name-0193","nt-people-0076","Daniel","en","canonical","accepted"
"name-0194","nt-people-0076","דָּנִיֵּאל, דָּנִאֵל","en","canonical","pending"
"name-0195","nt-people-0076","בֵּלְטְשַׁאצַּר","en","canonical","pending"
"name-0196","nt-people-0076","Δανιήλ","grc","alias","accepted"
"name-0197","nt-people-0076","Δανιήλ","en","alias","accepted"
"name-0198","nt-people-0077","David","en","canonical","accepted"
"name-0199","nt-people-0077","דָּוִד","en","canonical","pending"
"name-0200","nt-people-0077","Δαυείδ, Δαυίδ, Δαβίδ","grc","alias","accepted"
"name-0201","nt-people-0078","Demas","en","canonical","accepted"
"name-0202","nt-people-0078","Δημᾶς","en","canonical","accepted"
"name-0203","nt-people-0079","Demetrius","en","canonical","accepted"
"name-0204","nt-people-0079","Δημήτριος","en","canonical","accepted"
"name-0205","nt-people-0080","Dionysius","en","canonical","accepted"
"name-0206","nt-people-0080","Διονύσιος","en","canonical","accepted"
"name-0207","nt-people-0081","Diotrephes","en","canonical","accepted"
"name-0208","nt-people-0081","Διοτρεφής","en","canonical","accepted"
"name-0209","nt-people-0082","Drusilla","en","canonical","accepted"
"name-0210","nt-people-0082","Δρούσιλλα","en","canonical","accepted"
"name-0211","nt-people-0083","Eber","en","canonical","accepted"
"name-0212","nt-people-0083","עֵ֫בֶר","en","canonical","pending"
"name-0213","nt-people-0083","Ἐβέρ","grc","alias","accepted"
"name-0214","nt-people-0084","Eleazar","en","canonical","accepted"
"name-0215","nt-people-0084","Ἐλεάζαρ","en","canonical","accepted"
"name-0216","nt-people-0085","Eliakim","en","canonical","accepted"
"name-0217","nt-people-0085","Ἐλιακείμ","en","canonical","accepted"
"name-0218","nt-people-0086","Eliakim","en","canonical","accepted"
"name-0219","nt-people-0086","Ἐλιακείμ","en","canonical","accepted"
"name-0220","nt-people-0087","Eliezer","en","canonical","accepted"
"name-0221","nt-people-0087","Ἐλιέζερ","en","canonical","accepted"
"name-0222","nt-people-0088","Elijah","en","canonical","accepted"
"name-0223","nt-people-0088","אֵלִיָּה","en","canonical","pending"
"name-0224","nt-people-0088","Ἡλίας","grc","alias","accepted"
"name-0225","nt-people-0088","Ἡλίας","en","alias","accepted"
"name-0226","nt-people-0089","Elisha","en","canonical","accepted"
"name-0227","nt-people-0089","אֱלִישָׁע","en","canonical","pending"
"name-0228","nt-people-0089","Ἐλισσαῖος","grc","alias","accepted"
"name-0229","nt-people-0090","Eliud","en","canonical","accepted"
"name-0230","nt-people-0090","Ἐλιούδ","en","canonical","accepted"
"name-0231","nt-people-0091","Elizabeth","en","canonical","accepted"
"name-0232","nt-people-0091","Ἐλισάβετ","en","canonical","accepted"
"name-0233","nt-people-0092","Elmadam","en","canonical","accepted"
"name-0234","nt-people-0092","Ἐλμωδάμ","en","canonical","accepted"
"name-0235","nt-people-0093","Enoch","en","canonical","accepted"
"name-0236","nt-people-0093","חֲנוֹךְ","en","canonical","pending"
"name-0237","nt-people-0093","Ἐνώχ","grc","alias","accepted"
"name-0238","nt-people-0094","Enosh","en","canonical","accepted"
"name-0239","nt-people-0094","אֱנוֹשׁ","en","canonical","pending"
"name-0240","nt-people-0094","Ἐνώς","grc","alias","accepted"
"name-0241","nt-people-0095","Epaenetus","en","canonical","accepted"
"name-0242","nt-people-0095","Ἐπαίνετος","en","canonical","accepted"
"name-0243","nt-people-0096","Epaphras","en","canonical","accepted"
"name-0244","nt-people-0096","Ἐπαφρᾶς","en","canonical","accepted"
"name-0245","nt-people-0097","Epaphroditus","en","canonical","accepted"
"name-0246","nt-people-0097","Ἐπαφρόδιτος","en","canonical","accepted"
"name-0247","nt-people-0098","Er","en","canonical","accepted"
"name-0248","nt-people-0098","Ἤρ","en","canonical","accepted"
"name-0249","nt-people-0099","Erastus","en","canonical","accepted"
"name-0250","nt-people-0099","Ἔραστος","en","canonical","accepted"
"name-0251","nt-people-0100","Esau","en","canonical","accepted"
"name-0252","nt-people-0100","עֵשָׂו","en","canonical","pending"
"name-0253","nt-people-0100","Ἠσαῦ","grc","alias","accepted"
"name-0254","nt-people-0100","אֱדוֹם","en","canonical","pending"
"name-0255","nt-people-0101","Esli","en","canonical","accepted"
"name-0256","nt-people-0101","Ἐσλί","en","canonical","accepted"
"name-0257","nt-people-0102","Eubulus","en","canonical","accepted"
"name-0258","nt-people-0102","Εὔβουλος","en","canonical","accepted"
"name-0259","nt-people-0103","Eunice","en","canonical","accepted"
"name-0260","nt-people-0103","Εὐνίκη","en","canonical","accepted"
"name-0261","nt-people-0104","Euodia","en","canonical","accepted"
